AGENCY_ID,AGENCY_NAME,COUNTY_NAME,Latitude,Longitude
18170,Anderson County Sheriff's Office,ANDERSON,36.112832,-84.197066
18171,Clinton Police Department,ANDERSON,36.112832,-84.197066
18172,Rocky Top Police Department,ANDERSON,36.112832,-84.197066
18173,Oak Ridge Police Department,ANDERSON,36.112832,-84.197066
18174,Norris Police Department,ANDERSON,36.112832,-84.197066
18175,State Park Rangers: Norris Dam,ANDERSON,36.112832,-84.197066
18176,7th Judicial District Crime Task Force,ANDERSON,36.112832,-84.197066
18177,State Park Rangers: Cumberland Trail,ANDERSON,36.112832,-84.197066
18178,Bedford County Sheriff's Office,BEDFORD,35.513756,-86.458047
18179,Shelbyville Police Department,BEDFORD,35.513756,-86.458047
18180,Wartrace Police Department,BEDFORD,35.513756,-86.458047
18181,Tennessee College of Applied Technology: Shelbyville,BEDFORD,35.513756,-86.458047
18182,Benton County Sheriff's Office,BENTON,36.069009,-88.07164
18183,Camden Police Department,BENTON,36.069009,-88.07164
18184,Big Sandy Police Department,BENTON,36.069009,-88.07164
18185,State Park Rangers: Nathan Bedford Forrest,BENTON,36.069009,-88.07164
18186,Bledsoe County Sheriff's Office,BLEDSOE,35.598757,-85.207162
18187,Pikeville Police Department,BLEDSOE,35.598757,-85.207162
18188,State Park Rangers: Fall Creek Falls,BLEDSOE,35.598757,-85.207162
18189,Blount County Sheriff's Office,BLOUNT,35.686901,-83.925565
18190,Alcoa Police Department,BLOUNT,35.686901,-83.925565
18191,Maryville Police Department,BLOUNT,35.686901,-83.925565
18192,Friendsville Police Department,BLOUNT,35.686901,-83.925565
18193,Rockford Police Department,BLOUNT,35.686901,-83.925565
18194,Townsend Police Department,BLOUNT,35.686901,-83.925565
18195,Drug Task Force: 5th Judicial District,BLOUNT,35.686901,-83.925565
18196,Knoxville Metropolitan Airport,BLOUNT,35.686901,-83.925565
18197,Maryville College,BLOUNT,35.686901,-83.925565
18198,Bradley County Sheriff's Office,BRADLEY,35.153889,-84.859853
18199,Cleveland Police Department,BRADLEY,35.153889,-84.859853
