arrestee_id,arrestee_incident_id,arrest_date,arrest_type_name,offense_name,arrestee_age_num,arrestee_sex_code,arrestee_race_desc,arrestee_location_name,victim_id,victim_type_name,victim_age_num,victim_sex_code,victim_race_desc,agency_id,agency_name,weapon_name
27601649,94289060,2/25/16 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,30,M,Black or African American,Highway/Road/Alley/Street/Sidewalk,103194408,Individual,24,F,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
27601649,94289060,2/25/16 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,30,M,Black or African American,Highway/Road/Alley/Street/Sidewalk,103194408,Individual,24,F,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
27601649,94289060,2/25/16 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,30,M,Black or African American,Highway/Road/Alley/Street/Sidewalk,103194408,Individual,24,F,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
27200802,92938542,10/19/16 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,24,M,Black or African American,Residence/Home,101679670,Individual,22,M,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
27200802,92938542,10/19/16 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,24,M,Black or African American,Residence/Home,101679670,Individual,22,M,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
27200802,92938542,10/19/16 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,24,M,Black or African American,Residence/Home,101679670,Individual,22,M,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
27200800,92938542,9/20/16 0:00,On View,Murder and Nonnegligent Manslaughter,26,M,Black or African American,Residence/Home,101679670,Individual,22,M,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
27200800,92938542,9/20/16 0:00,On View,Murder and Nonnegligent Manslaughter,26,M,Black or African American,Residence/Home,101679670,Individual,22,M,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
27200800,92938542,9/20/16 0:00,On View,Murder and Nonnegligent Manslaughter,26,M,Black or African American,Residence/Home,101679670,Individual,22,M,Black or African American,18271,NASHVILLE METRO PD NASHVILLE,Handgun
26658583,91276214,4/4/17 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,55,M,White,Residence/Home,99792402,Individual,72,M,White,18715,JOHNSON CITY PD MUNICIPAL SAFETY BLDG,Knife/Cutting Instrument
