arrest_date,a_age,a_gender,a_race,v_age,v_gender,v_race,crime,weapon
1/1/2008 0:00,29,F,Black or African American,7,M,Black or African American,Negligent Manslaughter,Fire/Incendiary Device
1/1/2008 0:00,29,F,Black or African American,4,M,Black or African American,Negligent Manslaughter,Fire/Incendiary Device
1/5/2008 0:00,30,M,Black or African American,22,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
1/8/2008 0:00,49,M,White,49,M,White,Murder and Nonnegligent Manslaughter,Handgun
1/10/2008 0:00,33,M,White,69,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/11/2008 0:00,28,M,White,29,M,White,Murder and Nonnegligent Manslaughter,Handgun
1/13/2008 0:00,21,M,Black or African American,24,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
1/13/2008 0:00,52,M,White,44,F,White,Murder and Nonnegligent Manslaughter,Shotgun
1/16/2008 0:00,60,M,Black or African American,37,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
1/16/2008 0:00,60,M,Black or African American,39,F,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
1/16/2008 0:00,60,M,Black or African American,52,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
1/16/2008 0:00,22,M,Black or African American,36,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/17/2008 0:00,41,M,Black or African American,43,F,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
1/18/2008 0:00,34,M,White,1,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/18/2008 0:00,14,M,Black or African American,11,M,Black or African American,Negligent Manslaughter,Shotgun
1/21/2008 0:00,21,M,Black or African American,26,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,22,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,22,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,38,M,White,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,38,M,White,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,23,F,White,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/21/2008 0:00,23,F,White,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/22/2008 0:00,17,M,Black or African American,33,M,White,Murder and Nonnegligent Manslaughter,Handgun
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/22/2008 0:00,18,M,Black or African American,38,F,White,Murder and Nonnegligent Manslaughter,Firearm
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
1/22/2008 0:00,18,M,Black or African American,94,M,White,Murder and Nonnegligent Manslaughter,Firearm
1/22/2008 0:00,44,M,Black or African American,17,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
1/23/2008 0:00,18,M,Black or African American,25,M,White,Murder and Nonnegligent Manslaughter,Handgun
1/24/2008 0:00,22,M,Black or African American,25,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
1/25/2008 0:00,38,M,Black or African American,36,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
1/26/2008 0:00,17,M,Black or African American,25,M,White,Murder and Nonnegligent Manslaughter,Handgun
1/27/2008 0:00,18,M,Black or African American,48,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
1/28/2008 0:00,24,M,Black or African American,31,M,Black or African American,Murder and Nonnegligent Manslaughter,Unknown
1/28/2008 0:00,24,M,Black or African American,1,M,Black or African American,Murder and Nonnegligent Manslaughter,Unknown
1/29/2008 0:00,53,M,White,31,M,White,Murder and Nonnegligent Manslaughter,Handgun
1/30/2008 0:00,21,M,White,63,M,White,Murder and Nonnegligent Manslaughter,Handgun
1/31/2008 0:00,18,M,Black or African American,51,M,White,Murder and Nonnegligent Manslaughter,Unknown
2/1/2008 0:00,21,M,Black or African American,20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/2/2008 0:00,20,M,White,20,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
2/3/2008 0:00,33,M,Black or African American,38,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/3/2008 0:00,33,M,Black or African American,38,F,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
2/3/2008 0:00,33,M,Black or African American,29,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/3/2008 0:00,33,M,Black or African American,29,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
2/4/2008 0:00,31,M,Black or African American,37,F,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
2/6/2008 0:00,21,M,Black or African American,20,M,Unknown,Murder and Nonnegligent Manslaughter,Firearm
2/9/2008 0:00,25,M,White,22,F,White,Murder and Nonnegligent Manslaughter,Handgun
2/9/2008 0:00,25,M,White,22,F,White,Murder and Nonnegligent Manslaughter,Handgun
2/9/2008 0:00,22,M,Black or African American,27,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
2/11/2008 0:00,40,M,White,22,F,White,Murder and Nonnegligent Manslaughter,Rifle
2/13/2008 0:00,18,F,Black or African American,19,M,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
2/14/2008 0:00,23,M,Black or African American,25,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun (Automatic)
2/19/2008 0:00,59,M,Black or African American,43,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
2/24/2008 0:00,41,M,White,25,F,White,Murder and Nonnegligent Manslaughter,Handgun
2/25/2008 0:00,43,M,Black or African American,65,F,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
2/25/2008 0:00,43,M,Black or African American,34,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,21,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,21,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,21,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,41,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,41,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,41,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,20,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,20,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,18,M,Black or African American,20,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,21,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,21,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,21,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,41,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,41,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,41,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,20,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,20,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/28/2008 0:00,15,M,Black or African American,20,F,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
2/29/2008 0:00,16,M,Black or African American,12,F,Black or African American,Murder and Nonnegligent Manslaughter,Other
2/29/2008 0:00,16,M,Black or African American,12,F,Black or African American,Murder and Nonnegligent Manslaughter,Other
2/29/2008 0:00,16,M,Black or African American,12,F,Black or African American,Murder and Nonnegligent Manslaughter,Other
2/29/2008 0:00,16,M,Black or African American,12,F,Black or African American,Murder and Nonnegligent Manslaughter,Other
2/29/2008 0:00,51,M,White,46,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
2/29/2008 0:00,16,M,Black or African American,14,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
2/29/2008 0:00,16,M,Black or African American,13,F,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
2/29/2008 0:00,16,M,Black or African American,15,F,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
2/29/2008 0:00,16,M,Black or African American,13,F,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
3/2/2008 0:00,18,F,Black or African American,24,F,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
3/2/2008 0:00,18,F,Black or African American,24,F,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
3/2/2008 0:00,18,F,Black or African American,17,F,White,Murder and Nonnegligent Manslaughter,Motor Vehicle
3/2/2008 0:00,18,F,Black or African American,17,F,White,Murder and Nonnegligent Manslaughter,Motor Vehicle
3/3/2008 0:00,21,M,White,,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
3/3/2008 0:00,22,M,Black or African American,2,F,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
3/4/2008 0:00,48,M,White,40,F,White,Negligent Manslaughter,Drugs/Narcotics/Sleeping Pills
3/5/2008 0:00,35,M,Black or African American,42,F,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
3/5/2008 0:00,23,M,White,22,F,White,Murder and Nonnegligent Manslaughter,Other
3/6/2008 0:00,17,M,Black or African American,66,F,White,Murder and Nonnegligent Manslaughter,Handgun
3/6/2008 0:00,17,M,Black or African American,39,F,White,Murder and Nonnegligent Manslaughter,Handgun
3/7/2008 0:00,33,M,Black or African American,2,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
3/7/2008 0:00,33,M,Black or African American,2,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/7/2008 0:00,33,M,Black or African American,4,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
3/7/2008 0:00,33,M,Black or African American,4,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
