a_age,a_gender,a_race,crime,weapon
29,F,Black or African American,Negligent Manslaughter,Fire/Incendiary Device
29,F,Black or African American,Negligent Manslaughter,Fire/Incendiary Device
30,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
49,M,White,Murder and Nonnegligent Manslaughter,Handgun
33,M,White,Murder and Nonnegligent Manslaughter,Firearm
28,M,White,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
52,M,White,Murder and Nonnegligent Manslaughter,Shotgun
60,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
60,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
60,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
41,M,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
34,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
14,M,Black or African American,Negligent Manslaughter,Shotgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
38,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
38,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
38,M,White,Murder and Nonnegligent Manslaughter,Firearm
38,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
38,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
38,M,White,Murder and Nonnegligent Manslaughter,Firearm
38,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
38,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
38,M,White,Murder and Nonnegligent Manslaughter,Firearm
38,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
38,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
38,M,White,Murder and Nonnegligent Manslaughter,Firearm
38,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
38,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
38,M,White,Murder and Nonnegligent Manslaughter,Firearm
38,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
38,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
38,M,White,Murder and Nonnegligent Manslaughter,Firearm
23,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
23,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
23,F,White,Murder and Nonnegligent Manslaughter,Firearm
23,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
23,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
23,F,White,Murder and Nonnegligent Manslaughter,Firearm
23,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
23,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
23,F,White,Murder and Nonnegligent Manslaughter,Firearm
23,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
23,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
23,F,White,Murder and Nonnegligent Manslaughter,Firearm
23,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
23,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
23,F,White,Murder and Nonnegligent Manslaughter,Firearm
23,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
23,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
23,F,White,Murder and Nonnegligent Manslaughter,Firearm
17,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
44,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
38,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
17,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Unknown
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Unknown
53,M,White,Murder and Nonnegligent Manslaughter,Handgun
21,M,White,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Unknown
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
31,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
25,M,White,Murder and Nonnegligent Manslaughter,Handgun
25,M,White,Murder and Nonnegligent Manslaughter,Handgun
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
40,M,White,Murder and Nonnegligent Manslaughter,Rifle
18,F,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun (Automatic)
59,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
41,M,White,Murder and Nonnegligent Manslaughter,Handgun
43,M,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
43,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
51,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
18,F,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
18,F,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
18,F,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
18,F,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
21,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
48,M,White,Negligent Manslaughter,Drugs/Narcotics/Sleeping Pills
35,M,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
23,M,White,Murder and Nonnegligent Manslaughter,Other
17,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
17,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
37,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
37,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
15,M,White,Murder and Nonnegligent Manslaughter,Handgun
15,M,White,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
39,M,White,Murder and Nonnegligent Manslaughter,Handgun
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
19,M,Black or African American,Negligent Manslaughter,Handgun
47,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
21,M,White,Murder and Nonnegligent Manslaughter,Other
15,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
16,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
28,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
17,M,White,Murder and Nonnegligent Manslaughter,Shotgun
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
17,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
28,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Shotgun
42,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
42,M,White,Murder and Nonnegligent Manslaughter,Handgun
32,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
20,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
