arrestee_id,arrestee_incident_id,arrest_date,arrest_type_name,offense_name,arrestee_age_num,arrestee_sex_code,arrestee_race_desc,arrestee_location_name,victim_id,victim_type_name,victim_age_num,victim_sex_code,victim_race_desc,agency_id,agency_name,weapon_name,weapon_2,weapon_3,relationship  ,relationship_2,relationship_3
42598050,11384439,9/15/08 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,18,M,White,Residence/Home,46011209,Individual,17,M,White,18634,Collierville Police Department,Drugs/Narcotics/Sleeping Pills,0,0,0,0,0
42612420,11389923,1/25/08 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,38,M,Black or African American,Residence/Home,46026249,Individual,36,F,Black or African American,18636,Millington Police Department,Handgun,0,0,0,0,0
42672360,11411917,12/30/08 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,54,M,White,Residence/Home,46091433,Individual,38,F,White,18670,Sullivan County Sheriff's Office,Shotgun,0,0,0,0,0
42682871,11415144,4/25/08 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,20,M,White,Residence/Home,46102026,Individual,49,M,White,18671,Bristol Police Department,Firearm,0,0,0,0,0
42696269,11419586,12/10/08 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,45,M,White,Residence/Home,46116987,Individual,41,M,White,18671,Bristol Police Department,Knife/Cutting Instrument,0,0,0,0,0
42696269,11419586,12/10/08 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,45,M,White,Residence/Home,46116988,Individual,42,F,White,18671,Bristol Police Department,Knife/Cutting Instrument,0,0,0,0,0
42700119,11420725,1/10/08 0:00,On View,Murder and Nonnegligent Manslaughter,33,M,White,Commercial/Office Building,46121209,Individual,69,M,White,18672,Kingsport Police Department,Firearm,0,0,0,0,0
42705832,11422990,2/26/09 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,28,M,White,Residence/Home,46127626,Individual,27,M,White,18672,Kingsport Police Department,Drugs/Narcotics/Sleeping Pills,0,0,0,0,0
11384439,42598050,9/15/08 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,18,M,White,Residence/Home,46011209,Individual,17,M,White,18634,Collierville Police Department,Drugs/Narcotics/Sleeping Pills,0,0,Victim Was Friend,0,0
11389923,42612420,1/25/08 0:00,Taken INTO Custody,Murder and Nonnegligent Manslaughter,38,M,Black or African American,Residence/Home,46026249,Individual,36,F,Black or African American,18636,Millington Police Department,Handgun,0,0,Victim Was Boyfriend/Girlfriend,0,0
